datum,wochentag,woche_thema,plattformen,format,titel,caption,hashtags,posting_uhrzeit,status,notizen
2026-03-01,Samstag,Awareness,Instagram + TikTok,Reel,Du bist nicht zu alt für Trompete,"„Mit 45 kann man keine Trompete mehr lernen." FALSCH. ❌ Unser ältester Schüler: 67 Jahre. Es ist nie zu spät. 👉 7-Tage-Challenge KOSTENLOS starten → www.trumpetstar.app","#trompete #trompetelernen #musikfürerwachsene #nevertooolate #trumpetstar",18:00,scheduled,Story: Umfrage Hast du schon mal Trompete ausprobiert?
2026-03-02,Sonntag,Awareness,Instagram + Facebook,Carousel,3 Mythen über Trompete lernen,"Diese 3 Mythen halten Menschen davon ab ihren Traum zu leben. Welcher hat DICH aufgehalten? 7 Tage kostenlos testen 🎺 → www.trumpetstar.app","#mythen #trompete #fakten #erwachsenelernen #musiklernen",18:00,scheduled,5 Slides: Mythos Talent / Jahre / Alter / CTA
2026-03-03,Montag,Awareness,TikTok + YouTube Shorts,Reel,POV: Dein erster Ton auf der Trompete,"POV: Du spielst deinen ersten Ton 🎺 Unsicher → Überrascht → Stolz. 5 Minuten. 7 Tage. Dein erster Ton. 👆 www.trumpetstar.app","#ersterton #trompete #anfänger #pov #musikfreude",18:00,scheduled,BTS-Stil; Gesichtsausdruck zeigen
2026-03-04,Dienstag,Awareness,Instagram + Facebook,Static Post,Die 5-Minuten-Formel für Trompete-Erfolg,"Min 0-1: Buzzing. Min 1-4: Hauptübung. Min 4-5: Cooldown. Konstanz schlägt Intensität — immer. Wann sind deine 5 Minuten? 👇","#trompete #5minuten #üben #musikroutine #trumpetstar",18:00,scheduled,Infografik-Format; Story Umfrage Morgens/Mittags/Abends
2026-03-05,Mittwoch,Awareness,Instagram + TikTok,Reel,Tag 1 vs. Tag 30 — Trompete Transformation,"TAG 1 vs. TAG 30 🎺 Dazwischen: 150 Minuten (30 × 5 Min). Starte heute. 👆 www.trumpetstar.app — 7 Tage kostenlos","#transformation #trompete #vorhernachher #fortschritt #lernen",18:00,scheduled,Audio-Vergleich: gepresster vs. klarer Ton
2026-03-06,Donnerstag,Awareness,Facebook + Instagram,Quote Card,Testimonial: Peter 46 Jahre,"„Nach 3 Monaten TrumpetStar spiele ich meine ersten Songs für meine Kinder." — Peter 46 Ingenieur ⭐⭐⭐⭐⭐ 🎺 www.trumpetstar.app","#testimonial #erfolgsgeschichte #trompete #trumpetstar #erwachsenelernen",18:00,scheduled,Quote Card Design
2026-03-07,Freitag,Awareness,Instagram + TikTok + Facebook,Post,Community-Frage: Dein WARUM,"Warum möchtest du Trompete lernen? A) Kindheitstraum B) Familie C) Musik D) Weiß noch nicht. Kommentar 👇","#community #trompete #warum #motivation #musiklernen",18:00,scheduled,Story: Frage-Sticker
2026-03-08,Samstag,Education,Instagram + TikTok + YouTube,Reel,Erster Ton in 3 Schritten,"Dein erster Ton — heute noch. 3 Schritte: 1) Buzzing 2) Mundstück 3) Luft fließen. Kein Vorwissen nötig. 👆 www.trumpetstar.app","#ersterton #tutorial #trompete #anfänger #lerntipps",18:00,scheduled,Tutorial-Format 45 Sek.
2026-03-09,Sonntag,Education,Instagram + Facebook,Carousel,So funktioniert TrumpetStar,"TrumpetStar ist kein Online-Kurs. Es ist ein Lernsystem mit App Videos und Gamification. 7 Tage kostenlos: 🎺 www.trumpetstar.app","#trumpetstar #app #trompete #lernsystem #gamification",18:00,scheduled,6 Slides: App → Video → Sterne → Level → Dein Tempo
2026-03-10,Montag,Education,TikTok + Instagram,Reel,Der häufigste Fehler beim Trompete lernen,"99% der Anfänger machen diesen Fehler: Lippen pressen statt Luft fließen lassen. Das System dahinter → www.trumpetstar.app","#anfängerfehler #trompete #tipps #lernen #musiklehrer",18:00,scheduled,Falsch vs. Richtig zeigen
